Sample holder length =	6.9500e-003 meters
Sample thickness =	2.0000e-003 meters
Distance to sample =	0.0000e+000 meters
Sample holder Fco =	0.0000e+000 GHz
 
frequency	s11r	s11i	s21r	s21i	s12r	s12i	s22r	s22i
8320000000.0000	  -0.7174	  -0.1032	  -0.3694	  -0.2493	  -0.3726	  -0.2496	   0.1140	   0.7125
8400000000.0000	  -0.7163	  -0.1028	  -0.3731	  -0.2423	  -0.3772	  -0.2389	   0.1291	   0.7117
8480000000.0000	  -0.7195	  -0.0990	  -0.3798	  -0.2333	  -0.3824	  -0.2305	   0.1460	   0.7102
8560000000.0000	  -0.7213	  -0.0926	  -0.3842	  -0.2227	  -0.3867	  -0.2238	   0.1627	   0.7058
8640000000.0000	  -0.7185	  -0.0905	  -0.3858	  -0.2162	  -0.3895	  -0.2153	   0.1803	   0.7033
8720000000.0000	  -0.7193	  -0.0892	  -0.3902	  -0.2087	  -0.3935	  -0.2046	   0.1973	   0.6993
8800000000.0000	  -0.7235	  -0.0826	  -0.3953	  -0.1980	  -0.3975	  -0.1961	   0.2121	   0.6945
8880000000.0000	  -0.7227	  -0.0776	  -0.3965	  -0.1889	  -0.3998	  -0.1893	   0.2303	   0.6884
8960000000.0000	  -0.7207	  -0.0780	  -0.3981	  -0.1838	  -0.4014	  -0.1809	   0.2471	   0.6832
9040000000.0000	  -0.7226	  -0.0747	  -0.4028	  -0.1746	  -0.4051	  -0.1710	   0.2625	   0.6773
9120000000.0000	  -0.7241	  -0.0670	  -0.4054	  -0.1637	  -0.4088	  -0.1628	   0.2776	   0.6696
9200000000.0000	  -0.7205	  -0.0654	  -0.4061	  -0.1569	  -0.4100	  -0.1551	   0.2942	   0.6618
9280000000.0000	  -0.7200	  -0.0658	  -0.4084	  -0.1506	  -0.4110	  -0.1461	   0.3100	   0.6539
9360000000.0000	  -0.7230	  -0.0594	  -0.4116	  -0.1403	  -0.4143	  -0.1372	   0.3238	   0.6471
9440000000.0000	  -0.7209	  -0.0534	  -0.4123	  -0.1311	  -0.4172	  -0.1297	   0.3382	   0.6371
9520000000.0000	  -0.7173	  -0.0556	  -0.4138	  -0.1248	  -0.4175	  -0.1210	   0.3527	   0.6279
9600000000.0000	  -0.7181	  -0.0534	  -0.4162	  -0.1163	  -0.4181	  -0.1117	   0.3660	   0.6193
9680000000.0000	  -0.7175	  -0.0445	  -0.4169	  -0.1060	  -0.4209	  -0.1031	   0.3782	   0.6099
9760000000.0000	  -0.7120	  -0.0420	  -0.4176	  -0.0990	  -0.4226	  -0.0964	   0.3917	   0.5991
9840000000.0000	  -0.7117	  -0.0447	  -0.4198	  -0.0916	  -0.4229	  -0.0877	   0.4043	   0.5878
9920000000.0000	  -0.7125	  -0.0380	  -0.4209	  -0.0811	  -0.4240	  -0.0773	   0.4160	   0.5781
10000000000.0000	  -0.7088	  -0.0305	  -0.4195	  -0.0729	  -0.4258	  -0.0688	   0.4265	   0.5670
10080000000.0000	  -0.7046	  -0.0326	  -0.4213	  -0.0672	  -0.4258	  -0.0619	   0.4387	   0.5552
10160000000.0000	  -0.7049	  -0.0321	  -0.4236	  -0.0578	  -0.4259	  -0.0531	   0.4502	   0.5430
10240000000.0000	  -0.7029	  -0.0233	  -0.4224	  -0.0469	  -0.4268	  -0.0429	   0.4596	   0.5319
10320000000.0000	  -0.6975	  -0.0203	  -0.4209	  -0.0400	  -0.4276	  -0.0347	   0.4695	   0.5192
