frequency	e'	e''	u'	u''
13040000000.0000	  17.2111	  -0.3283	   1.0975	   0.4333
13120000000.0000	  17.3362	  -0.2199	   1.0954	   0.4280
13200000000.0000	  17.2888	  -0.1499	   1.0977	   0.4287
13280000000.0000	  17.2480	  -0.3194	   1.0893	   0.4326
13360000000.0000	  17.4008	  -0.3663	   1.0813	   0.4284
13440000000.0000	  17.4540	  -0.1882	   1.0845	   0.4235
13520000000.0000	  17.4496	  -0.2645	   1.0795	   0.4270
13600000000.0000	  17.5264	  -0.3457	   1.0707	   0.4249
13680000000.0000	  17.6706	  -0.1867	   1.0693	   0.4148
13760000000.0000	  17.5498	  -0.1665	   1.0724	   0.4201
13840000000.0000	  17.6083	  -0.3402	   1.0621	   0.4236
13920000000.0000	  17.8308	  -0.2786	   1.0532	   0.4134
14000000000.0000	  17.8051	   0.0578	   1.0631	   0.4045
14080000000.0000	  17.6026	  -0.1078	   1.0622	   0.4169
14160000000.0000	  17.8858	  -0.3666	   1.0417	   0.4147
14240000000.0000	  18.0610	  -0.0863	   1.0426	   0.4005
14320000000.0000	  17.7389	   0.1298	   1.0584	   0.4053
14400000000.0000	  17.7238	  -0.1712	   1.0460	   0.4141
14480000000.0000	  18.2145	  -0.1461	   1.0289	   0.3952
14560000000.0000	  18.1235	   0.2145	   1.0419	   0.3875
14640000000.0000	  17.9247	   0.0412	   1.0402	   0.4023
14720000000.0000	  18.2274	  -0.0996	   1.0214	   0.3938
14800000000.0000	  18.4599	   0.2322	   1.0230	   0.3732
14880000000.0000	  18.0421	   0.2250	   1.0357	   0.3895
14960000000.0000	  18.2886	   0.0312	   1.0179	   0.3887
15040000000.0000	  18.7237	   0.3759	   1.0098	   0.3603
15120000000.0000	  18.3853	   0.6364	   1.0285	   0.3612
15200000000.0000	  18.1486	   0.2022	   1.0201	   0.3869
15280000000.0000	  18.6996	   0.1198	   0.9959	   0.3710
15360000000.0000	  18.6920	   0.8275	   1.0159	   0.3440
15440000000.0000	  18.1881	   0.6208	   1.0257	   0.3689
15520000000.0000	  18.3966	   0.0564	   0.9966	   0.3836
15600000000.0000	  18.9857	   0.5520	   0.9902	   0.3449
15680000000.0000	  18.4077	   0.9447	   1.0238	   0.3485
15760000000.0000	  18.1276	   0.4391	   1.0137	   0.3786
15840000000.0000	  18.6827	   0.5004	   0.9905	   0.3564
15920000000.0000	  18.7069	   1.1785	   1.0114	   0.3268
16000000000.0000	  18.2763	   0.9842	   1.0216	   0.3499
16080000000.0000	  18.6656	   0.5188	   0.9860	   0.3550
16160000000.0000	  18.9056	   1.2259	   0.9963	   0.3181
16240000000.0000	  18.4244	   1.3832	   1.0211	   0.3258
16320000000.0000	  18.5789	   1.0194	   1.0005	   0.3371
16400000000.0000	  19.0013	   1.4139	   0.9919	   0.3065
16480000000.0000	  18.6695	   2.0109	   1.0218	   0.2906
16560000000.0000	  18.4591	   1.2333	   1.0052	   0.3317
16640000000.0000	  19.1008	   1.3188	   0.9787	   0.3068
16720000000.0000	  18.9503	   2.1288	   1.0067	   0.2755
16800000000.0000	  18.4180	   2.0860	   1.0300	   0.2940
16880000000.0000	  18.8475	   1.6153	   0.9914	   0.3026
16960000000.0000	  19.1510	   2.1227	   0.9893	   0.2709
17040000000.0000	  18.5850	   2.3959	   1.0223	   0.2724
17120000000.0000	  18.6907	   2.0828	   1.0077	   0.2860
17200000000.0000	  19.0829	   2.1837	   0.9880	   0.2716
17280000000.0000	  18.6221	   2.5354	   1.0166	   0.2676
17360000000.0000	  18.5189	   2.2445	   1.0125	   0.2844
17440000000.0000	  18.9206	   2.1719	   0.9899	   0.2771
17520000000.0000	  18.8651	   2.4210	   0.9942	   0.2689
17600000000.0000	  18.3200	   2.2638	   1.0145	   0.2933
17680000000.0000	  18.4661	   1.8353	   0.9945	   0.3094
17760000000.0000	  18.9011	   2.1461	   0.9790	   0.2801
17840000000.0000	  18.5774	   2.3015	   0.9954	   0.2814
17920000000.0000	  18.0996	   1.8693	   1.0079	   0.3202
18000000000.0000	  18.4313	   1.7812	   0.9854	   0.3150
18080000000.0000	  18.5874	   2.0059	   0.9787	   0.2956
18160000000.0000	  18.1095	   1.9778	   1.0009	   0.3090
18240000000.0000	  18.0834	   1.6577	   0.9931	   0.3289
18320000000.0000	  18.4154	   1.9342	   0.9792	   0.3042
18400000000.0000	  18.1977	   1.8906	   0.9822	   0.3046
18480000000.0000	  18.0076	   1.6755	   0.9891	   0.3244
18560000000.0000	  18.1226	   1.7031	   0.9847	   0.3204
18640000000.0000	  18.0502	   2.1570	   1.0000	   0.2964
18720000000.0000	  17.7729	   1.8594	   1.0025	   0.3191
18800000000.0000	  18.0272	   1.6960	   0.9810	   0.3197
