Sample holder length =	6.9500e-003 meters
Sample thickness =	4.7400e-003 meters
Distance to sample =	0.0000e+000 meters
Sample holder Fco =	0.0000e+000 GHz
 
frequency	s11r	s11i	s21r	s21i	s12r	s12i	s22r	s22i
7680000000.0000	  -0.6662	   0.1521	  -0.3107	  -0.5755	  -0.3097	  -0.5733	  -0.4358	   0.5116
7760000000.0000	  -0.6635	   0.1578	  -0.3219	  -0.5673	  -0.3186	  -0.5682	  -0.4256	   0.5205
7840000000.0000	  -0.6605	   0.1676	  -0.3287	  -0.5624	  -0.3310	  -0.5632	  -0.4154	   0.5269
7920000000.0000	  -0.6547	   0.1774	  -0.3396	  -0.5608	  -0.3427	  -0.5587	  -0.4035	   0.5324
8000000000.0000	  -0.6499	   0.1821	  -0.3527	  -0.5546	  -0.3522	  -0.5544	  -0.3904	   0.5401
8080000000.0000	  -0.6462	   0.1898	  -0.3613	  -0.5480	  -0.3614	  -0.5476	  -0.3799	   0.5471
8160000000.0000	  -0.6408	   0.2000	  -0.3705	  -0.5451	  -0.3727	  -0.5429	  -0.3690	   0.5520
8240000000.0000	  -0.6337	   0.2074	  -0.3849	  -0.5405	  -0.3847	  -0.5386	  -0.3554	   0.5566
8320000000.0000	  -0.6307	   0.2133	  -0.3948	  -0.5322	  -0.3946	  -0.5337	  -0.3418	   0.5632
8400000000.0000	  -0.6261	   0.2214	  -0.4020	  -0.5271	  -0.4052	  -0.5253	  -0.3314	   0.5680
8480000000.0000	  -0.6187	   0.2307	  -0.4153	  -0.5244	  -0.4166	  -0.5197	  -0.3187	   0.5724
8560000000.0000	  -0.6125	   0.2369	  -0.4296	  -0.5159	  -0.4278	  -0.5155	  -0.3044	   0.5748
8640000000.0000	  -0.6091	   0.2437	  -0.4361	  -0.5076	  -0.4374	  -0.5094	  -0.2913	   0.5805
8720000000.0000	  -0.6023	   0.2516	  -0.4452	  -0.5044	  -0.4494	  -0.5006	  -0.2789	   0.5837
8800000000.0000	  -0.5950	   0.2588	  -0.4611	  -0.4984	  -0.4609	  -0.4937	  -0.2667	   0.5847
8880000000.0000	  -0.5902	   0.2646	  -0.4733	  -0.4873	  -0.4714	  -0.4887	  -0.2502	   0.5873
8960000000.0000	  -0.5852	   0.2715	  -0.4796	  -0.4810	  -0.4812	  -0.4819	  -0.2375	   0.5907
9040000000.0000	  -0.5753	   0.2781	  -0.4926	  -0.4757	  -0.4941	  -0.4722	  -0.2254	   0.5920
9120000000.0000	  -0.5682	   0.2831	  -0.5073	  -0.4653	  -0.5065	  -0.4644	  -0.2116	   0.5910
9200000000.0000	  -0.5622	   0.2893	  -0.5157	  -0.4562	  -0.5164	  -0.4570	  -0.1962	   0.5921
9280000000.0000	  -0.5537	   0.2956	  -0.5249	  -0.4505	  -0.5265	  -0.4479	  -0.1831	   0.5932
9360000000.0000	  -0.5447	   0.3000	  -0.5397	  -0.4402	  -0.5392	  -0.4381	  -0.1717	   0.5923
9440000000.0000	  -0.5378	   0.3048	  -0.5502	  -0.4274	  -0.5516	  -0.4296	  -0.1566	   0.5897
9520000000.0000	  -0.5294	   0.3098	  -0.5582	  -0.4208	  -0.5608	  -0.4194	  -0.1425	   0.5891
9600000000.0000	  -0.5188	   0.3134	  -0.5707	  -0.4123	  -0.5702	  -0.4084	  -0.1312	   0.5884
9680000000.0000	  -0.5101	   0.3164	  -0.5832	  -0.3970	  -0.5829	  -0.3976	  -0.1192	   0.5842
9760000000.0000	  -0.5013	   0.3217	  -0.5901	  -0.3864	  -0.5940	  -0.3889	  -0.1048	   0.5808
9840000000.0000	  -0.4915	   0.3237	  -0.6005	  -0.3797	  -0.6036	  -0.3769	  -0.0911	   0.5777
9920000000.0000	  -0.4815	   0.3253	  -0.6139	  -0.3663	  -0.6132	  -0.3632	  -0.0810	   0.5747
10000000000.0000	  -0.4734	   0.3287	  -0.6217	  -0.3498	  -0.6247	  -0.3514	  -0.0695	   0.5684
10080000000.0000	  -0.4629	   0.3311	  -0.6283	  -0.3407	  -0.6336	  -0.3410	  -0.0561	   0.5635
10160000000.0000	  -0.4515	   0.3301	  -0.6407	  -0.3305	  -0.6427	  -0.3279	  -0.0441	   0.5593
10240000000.0000	  -0.4430	   0.3313	  -0.6510	  -0.3135	  -0.6520	  -0.3127	  -0.0355	   0.5540
10320000000.0000	  -0.4331	   0.3344	  -0.6565	  -0.2991	  -0.6616	  -0.2996	  -0.0237	   0.5464
10400000000.0000	  -0.4229	   0.3340	  -0.6655	  -0.2898	  -0.6683	  -0.2875	  -0.0116	   0.5406
10480000000.0000	  -0.4141	   0.3331	  -0.6762	  -0.2758	  -0.6761	  -0.2741	  -0.0013	   0.5361
10560000000.0000	  -0.4063	   0.3359	  -0.6819	  -0.2592	  -0.6851	  -0.2596	   0.0078	   0.5292
