frequency	e'	e''	u'	u''
18000000000.0000	   5.0568	   0.7575	   1.0557	  -0.0386
18080000000.0000	   5.0769	   0.8683	   1.0474	  -0.0716
18160000000.0000	   5.0177	   0.8799	   1.0615	  -0.0718
18240000000.0000	   5.0352	   0.7727	   1.0583	  -0.0416
18320000000.0000	   5.0753	   0.8057	   1.0465	  -0.0553
18400000000.0000	   5.0036	   0.8697	   1.0598	  -0.0792
18480000000.0000	   5.0367	   0.7849	   1.0569	  -0.0500
18560000000.0000	   5.0918	   0.7416	   1.0437	  -0.0405
18640000000.0000	   5.0858	   0.8122	   1.0469	  -0.0617
18720000000.0000	   5.0444	   0.8117	   1.0561	  -0.0599
18800000000.0000	   5.0960	   0.7524	   1.0410	  -0.0440
